--------- beginning of system
--------- beginning of main
--------- beginning of crash
04-01 05:02:15.197  1457  1457 E AndroidRuntime: FATAL EXCEPTION: main
04-01 05:02:15.197  1457  1457 E AndroidRuntime: Process: com.nextcloud.client, PID: 1457
04-01 05:02:15.197  1457  1457 E AndroidRuntime: android.app.RemoteServiceException: Context.startForegroundService() did not then call Service.startForeground(): ServiceRecord{86eb468 u0 com.nextcloud.client/com.owncloud.android.services.observer.FileObserverService}
04-01 05:02:15.197  1457  1457 E AndroidRuntime: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2005)
04-01 05:02:15.197  1457  1457 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:106)
04-01 05:02:15.197  1457  1457 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:223)
04-01 05:02:15.197  1457  1457 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:7656)
04-01 05:02:15.197  1457  1457 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
04-01 05:02:15.197  1457  1457 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:592)
04-01 05:02:15.197  1457  1457 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:947)
--------- beginning of kernel
04-01 05:02:20.128  2812  2812 W System.err: java.io.FileNotFoundException: /jacoco.exec: open failed: EROFS (Read-only file system)
04-01 05:02:20.128  2812  2812 W System.err: 	at libcore.io.IoBridge.open(IoBridge.java:492)
04-01 05:02:20.128  2812  2812 W System.err: 	at java.io.FileOutputStream.<init>(FileOutputStream.java:236)
04-01 05:02:20.128  2812  2812 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.output.FileOutput.openFile(FileOutput.java:67)
04-01 05:02:20.128  2812  2812 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.output.FileOutput.startup(FileOutput.java:49)
04-01 05:02:20.128  2812  2812 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Agent.startup(Agent.java:122)
04-01 05:02:20.128  2812  2812 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Agent.getInstance(Agent.java:50)
04-01 05:02:20.128  2812  2812 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Offline.<clinit>(Offline.java:31)
04-01 05:02:20.128  2812  2812 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Offline.getProbes(Offline.java:51)
04-01 05:02:20.128  2812  2812 W System.err: 	at com.ichi2.anki.AnkiDroidApp.$jacocoInit(Unknown Source:13)
04-01 05:02:20.128  2812  2812 W System.err: 	at com.ichi2.anki.AnkiDroidApp.<clinit>(Unknown Source:0)
04-01 05:02:20.128  2812  2812 W System.err: 	at java.lang.Class.newInstance(Native Method)
04-01 05:02:20.128  2812  2812 W System.err: 	at android.app.AppComponentFactory.instantiateApplication(AppComponentFactory.java:76)
04-01 05:02:20.129  2812  2812 W System.err: 	at android.app.Instrumentation.newApplication(Instrumentation.java:1158)
04-01 05:02:20.129  2812  2812 W System.err: 	at android.app.LoadedApk.makeApplication(LoadedApk.java:1236)
04-01 05:02:20.129  2812  2812 W System.err: 	at android.app.ActivityThread.handleBindApplication(ActivityThread.java:6683)
04-01 05:02:20.129  2812  2812 W System.err: 	at android.app.ActivityThread.access$1300(ActivityThread.java:237)
04-01 05:02:20.129  2812  2812 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1913)
04-01 05:02:20.129  2812  2812 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
04-01 05:02:20.129  2812  2812 W System.err: 	at android.os.Looper.loop(Looper.java:223)
04-01 05:02:20.129  2812  2812 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:7656)
04-01 05:02:20.129  2812  2812 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
04-01 05:02:20.129  2812  2812 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:592)
04-01 05:02:20.129  2812  2812 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:947)
04-01 05:02:20.129  2812  2812 W System.err: Caused by: android.system.ErrnoException: open failed: EROFS (Read-only file system)
04-01 05:02:20.129  2812  2812 W System.err: 	at libcore.io.Linux.open(Native Method)
04-01 05:02:20.129  2812  2812 W System.err: 	at libcore.io.ForwardingOs.open(ForwardingOs.java:166)
04-01 05:02:20.129  2812  2812 W System.err: 	at libcore.io.BlockGuardOs.open(BlockGuardOs.java:254)
04-01 05:02:20.129  2812  2812 W System.err: 	at libcore.io.ForwardingOs.open(ForwardingOs.java:166)
04-01 05:02:20.129  2812  2812 W System.err: 	at android.app.ActivityThread$AndroidOs.open(ActivityThread.java:7542)
04-01 05:02:20.129  2812  2812 W System.err: 	at libcore.io.IoBridge.open(IoBridge.java:478)
04-01 05:02:20.129  2812  2812 W System.err: 	... 22 more
04-01 05:13:02.633  3680  3680 W System.err: java.io.FileNotFoundException: /jacoco.exec: open failed: EROFS (Read-only file system)
04-01 05:13:02.633  3680  3680 W System.err: 	at libcore.io.IoBridge.open(IoBridge.java:492)
04-01 05:13:02.633  3680  3680 W System.err: 	at java.io.FileOutputStream.<init>(FileOutputStream.java:236)
04-01 05:13:02.633  3680  3680 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.output.FileOutput.openFile(FileOutput.java:67)
04-01 05:13:02.633  3680  3680 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.output.FileOutput.startup(FileOutput.java:49)
04-01 05:13:02.633  3680  3680 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Agent.startup(Agent.java:122)
04-01 05:13:02.633  3680  3680 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Agent.getInstance(Agent.java:50)
04-01 05:13:02.633  3680  3680 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Offline.<clinit>(Offline.java:31)
04-01 05:13:02.633  3680  3680 W System.err: 	at org.jacoco.agent.rt.internal_8ff85ea.Offline.getProbes(Offline.java:51)
04-01 05:13:02.633  3680  3680 W System.err: 	at com.owncloud.android.MainApp.$jacocoInit(Unknown Source:13)
04-01 05:13:02.633  3680  3680 W System.err: 	at com.owncloud.android.MainApp.<clinit>(Unknown Source:0)
04-01 05:13:02.633  3680  3680 W System.err: 	at java.lang.Class.newInstance(Native Method)
04-01 05:13:02.633  3680  3680 W System.err: 	at android.app.AppComponentFactory.instantiateApplication(AppComponentFactory.java:76)
04-01 05:13:02.633  3680  3680 W System.err: 	at android.app.Instrumentation.newApplication(Instrumentation.java:1158)
04-01 05:13:02.633  3680  3680 W System.err: 	at android.app.LoadedApk.makeApplication(LoadedApk.java:1236)
04-01 05:13:02.634  3680  3680 W System.err: 	at android.app.ActivityThread.handleBindApplication(ActivityThread.java:6683)
04-01 05:13:02.634  3680  3680 W System.err: 	at android.app.ActivityThread.access$1300(ActivityThread.java:237)
04-01 05:13:02.634  3680  3680 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1913)
04-01 05:13:02.634  3680  3680 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
04-01 05:13:02.634  3680  3680 W System.err: 	at android.os.Looper.loop(Looper.java:223)
04-01 05:13:02.634  3680  3680 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:7656)
04-01 05:13:02.634  3680  3680 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
04-01 05:13:02.634  3680  3680 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:592)
04-01 05:13:02.634  3680  3680 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:947)
04-01 05:13:02.634  3680  3680 W System.err: Caused by: android.system.ErrnoException: open failed: EROFS (Read-only file system)
04-01 05:13:02.634  3680  3680 W System.err: 	at libcore.io.Linux.open(Native Method)
04-01 05:13:02.634  3680  3680 W System.err: 	at libcore.io.ForwardingOs.open(ForwardingOs.java:166)
04-01 05:13:02.634  3680  3680 W System.err: 	at libcore.io.BlockGuardOs.open(BlockGuardOs.java:254)
04-01 05:13:02.634  3680  3680 W System.err: 	at libcore.io.ForwardingOs.open(ForwardingOs.java:166)
